-------------------------------
angle,output,Kp,Ki,Kd
0.11,-0.68,1.5,0.4,0.38
0.13,-0.79,1.5,0.4,0.38
0.11,-0.58,1.49,0.4,0.38
0.11,-0.68,1.49,0.4,0.38
0.11,-0.63,1.48,0.4,0.37
0.09,-0.53,1.48,0.4,0.38
0.09,-0.61,1.35,0.4,0.38
0.09,-0.66,1.33,0.4,0.38
0.08,-0.56,1.32,0.4,0.37
0.09,-0.71,1.31,0.4,0.37
0.07,-0.46,1.24,0.4,0.37
0.06,-0.54,1.21,0.39,0.38
0.06,-0.55,1.18,0.4,0.37
0.06,-0.6,1.17,0.4,0.37
0.05,-0.55,1.16,0.4,0.38
0.05,-0.54,1.15,0.4,0.38
0.05,-0.59,1.15,0.4,0.37
0.05,-0.6,1.14,0.4,0.38
0.04,-0.55,1.14,0.4,0.38
0.03,-0.45,1.14,0.4,0.37
0.03,-0.59,1.13,0.4,0.38
0.03,-0.59,1.13,0.4,0.38
0.01,-0.39,1.12,0.4,0.38
0.01,-0.54,1.11,0.4,0.38
-0.0,-0.44,1.08,0.4,0.38
0.0,-0.59,1.04,0.4,0.38
-0.0,-0.49,1.0,0.4,0.38
0.0,-0.59,0.98,0.4,0.38
-0.0,-0.49,0.98,0.4,0.37
-0.01,-0.49,0.98,0.4,0.37
0.01,-0.68,0.97,0.4,0.37
0.02,-0.64,0.97,0.4,0.38
0.02,-0.59,0.96,0.4,0.38
0.01,-0.44,0.96,0.4,0.38
-0.0,-0.42,0.96,0.39,0.38
-0.0,-0.54,0.96,0.4,0.38
-0.01,-0.44,0.96,0.4,0.37
-0.01,-0.53,0.96,0.4,0.38
0.01,-0.69,0.96,0.4,0.38
0.02,-0.64,0.96,0.4,0.38
0.02,-0.58,0.96,0.39,0.38
0.03,-0.58,0.96,0.39,0.38
0.01,-0.44,0.97,0.4,0.37
0.03,-0.74,0.97,0.4,0.37
0.03,-0.54,0.97,0.4,0.38
0.02,-0.48,0.97,0.39,0.37
0.02,-0.54,0.98,0.4,0.37
0.02,-0.59,0.98,0.4,0.38
0.02,-0.54,0.99,0.4,0.38
0.03,-0.64,0.99,0.4,0.38
0.01,-0.39,0.99,0.4,0.38
0.01,-0.54,0.99,0.4,0.38
0.02,-0.64,0.99,0.4,0.37
0.02,-0.55,0.99,0.4,0.38
0.02,-0.55,0.99,0.4,0.37
-0.0,-0.39,0.99,0.4,0.38
-0.01,-0.48,0.99,0.39,0.38
-0.01,-0.54,0.99,0.4,0.38
-0.01,-0.54,0.99,0.4,0.38
-0.02,-0.44,0.99,0.4,0.38
0.0,-0.67,1.0,0.39,0.37
-0.0,-0.49,1.0,0.4,0.38
0.01,-0.64,1.0,0.4,0.38
0.01,-0.54,1.01,0.4,0.38
0.01,-0.59,1.02,0.4,0.37
0.01,-0.54,1.03,0.4,0.37
0.02,-0.59,1.04,0.4,0.37
0.01,-0.5,1.04,0.4,0.38
0.01,-0.54,1.04,0.4,0.38
-0.02,-0.35,1.04,0.4,0.37
-0.03,-0.44,1.04,0.4,0.38
-0.04,-0.44,1.04,0.4,0.38
-0.01,-0.67,1.04,0.39,0.37
-0.01,-0.59,1.04,0.4,0.38
0.01,-0.64,1.04,0.4,0.37
0.02,-0.64,1.04,0.4,0.38
0.03,-0.64,1.04,0.4,0.37
0.03,-0.6,1.05,0.4,0.38
0.03,-0.55,1.04,0.4,0.37
0.03,-0.6,1.04,0.4,0.38
0.03,-0.6,1.04,0.4,0.38
0.03,-0.55,1.04,0.4,0.37
0.03,-0.6,1.03,0.4,0.37
0.02,-0.5,1.03,0.4,0.37
0.02,-0.5,1.03,0.4,0.38
-0.0,-0.4,1.03,0.4,0.38
0.0,-0.6,1.03,0.4,0.38
0.01,-0.65,1.03,0.4,0.38
0.01,-0.5,1.03,0.4,0.38
0.0,-0.5,1.03,0.4,0.37
0.0,-0.55,1.03,0.4,0.38
0.01,-0.65,1.03,0.4,0.37
-0.0,-0.45,1.03,0.4,0.38
-0.0,-0.55,1.03,0.4,0.37
-0.0,-0.55,1.03,0.4,0.38
0.01,-0.6,1.03,0.4,0.38
-0.0,-0.48,1.03,0.39,0.38
0.01,-0.65,1.03,0.4,0.38
0.0,-0.5,1.03,0.4,0.38
0.0,-0.55,1.03,0.4,0.38
0.01,-0.6,1.03,0.4,0.38
-0.0,-0.45,1.03,0.4,0.38
0.0,-0.6,1.03,0.4,0.37
0.01,-0.64,1.03,0.39,0.38
0.0,-0.44,1.03,0.39,0.38
-0.01,-0.5,1.02,0.4,0.38
0.0,-0.6,1.02,0.4,0.37
-0.0,-0.5,1.03,0.4,0.38
-0.0,-0.55,1.02,0.4,0.38
0.01,-0.65,1.02,0.4,0.38
0.01,-0.55,1.02,0.4,0.38
-0.01,-0.45,1.01,0.4,0.38
0.01,-0.65,1.02,0.4,0.38
0.01,-0.55,1.01,0.4,0.38
0.01,-0.55,1.01,0.4,0.37
0.01,-0.55,1.01,0.4,0.38
0.01,-0.6,1.0,0.4,0.37
0.01,-0.55,1.0,0.4,0.38
0.01,-0.6,0.99,0.4,0.38
0.02,-0.6,0.98,0.4,0.38
0.03,-0.64,0.97,0.39,0.38
0.01,-0.41,0.96,0.4,0.37
0.01,-0.6,0.96,0.4,0.38
0.01,-0.55,0.95,0.4,0.38
0.01,-0.55,0.95,0.4,0.38
-0.0,-0.45,0.94,0.4,0.38
-0.01,-0.49,0.92,0.39,0.38
-0.01,-0.49,0.92,0.39,0.38
-0.02,-0.45,0.92,0.4,0.37
-0.01,-0.64,0.92,0.4,0.37
-0.01,-0.55,0.92,0.4,0.37
-0.01,-0.5,0.92,0.4,0.37
-0.04,-0.34,0.92,0.39,0.37
-0.03,-0.6,0.92,0.4,0.38
-0.01,-0.69,0.92,0.4,0.37
0.0,-0.6,0.92,0.4,0.38
0.01,-0.65,0.92,0.4,0.37
0.01,-0.55,0.92,0.4,0.38
0.01,-0.55,0.92,0.4,0.37
0.01,-0.6,0.92,0.4,0.38
0.02,-0.6,0.92,0.4,0.37
0.03,-0.7,0.91,0.4,0.37
0.04,-0.6,0.92,0.4,0.38
0.05,-0.7,0.92,0.4,0.38
0.02,-0.36,0.92,0.4,0.38
0.03,-0.6,0.92,0.4,0.38
0.01,-0.41,0.92,0.4,0.38
0.02,-0.7,0.92,0.4,0.37
0.03,-0.66,0.92,0.4,0.38
0.03,-0.56,0.92,0.4,0.38
0.02,-0.51,0.92,0.4,0.37
0.02,-0.56,0.92,0.4,0.37
0.02,-0.56,0.92,0.4,0.38
0.01,-0.56,0.92,0.4,0.38
0.03,-0.64,0.92,0.39,0.38
0.0,-0.41,0.92,0.4,0.38
0.0,-0.56,0.92,0.4,0.38
-0.0,-0.51,0.92,0.4,0.38
0.02,-0.75,0.92,0.4,0.37
0.03,-0.61,0.92,0.4,0.38
0.02,-0.56,0.92,0.4,0.37
0.03,-0.66,0.92,0.4,0.37
0.04,-0.66,0.92,0.4,0.38
0.04,-0.56,0.92,0.4,0.37
0.02,-0.46,0.92,0.4,0.38
0.03,-0.61,0.92,0.4,0.38
0.03,-0.66,0.91,0.4,0.37
0.03,-0.56,0.92,0.4,0.38
0.03,-0.61,0.92,0.4,0.37
0.02,-0.47,0.92,0.4,0.38
0.0,-0.47,0.92,0.4,0.37
-0.0,-0.51,0.91,0.4,0.38
-0.0,-0.56,0.92,0.4,0.38
-0.01,-0.51,0.91,0.4,0.38
-0.01,-0.56,0.92,0.4,0.37
0.01,-0.66,0.91,0.4,0.38
0.01,-0.61,0.92,0.4,0.38
-0.0,-0.46,0.92,0.4,0.38
0.01,-0.65,0.92,0.39,0.38
